"","Lake.ID","Bacillariophyta","Chlorophyta","Chrysophyta","Cryptophyta","Cyanophyta","Dinophyta","Euglenophyta","Microcystis","Total_biomass"
"21",25,0.086242324,4.506255169,0,0.351397212,7.648519861,1.718540908,0.055207378,6.9891221,14.366162852
"22",28,1.244048353,1.456225874,0,1.113882637,0.802967994,0,1.875390381,0,6.492515239
"23",29,1.339184147,0.666876786,0,0.083722725,4.785001704,3.293513028,0.016289555,0.320567039,10.184587945
"24",30,0.039759513,0.20268723,0,3.414064055,381.4100891,0.112103482,0,377.6974552,385.17870338
"25",31,3.880692802,3.616486968,0,0.02048136,0,0,0.021672517,0,7.539333647
"26",32,0.72428856,12.449613392,0,0.588293944,44.013969192,0.035005921,0.526772119,43.97699749,58.337943128
"27",33,0.674169261,0.523942187,0,0.274649498,266.067950178,0,0,263.9908235,267.540711124
"28",35,0.69313351,0.172267596,0.182567165,4.161136017,0,0.047653543,0,0,5.256757831
"29",36,1.663686456,0.034310606,0,0.082633923,135.374894815,1.992078668,0,125.7049803,139.147604468
"30",38,0.335792774,0.201221041,0,0.357755854,1.490775795,0.837507099,0,0.0361113,3.223052563
"31",40,0.003543703,0.344761477,0.001546232,0.614900593,0.082856294,0.748956153,0.120165854,0.082856294,1.916730306
"32",41,1.852768088,0.05121222,0.172381513,0.12470933,59.644018087,0.379297446,0.059547252,55.24587294,62.283933936
"33",42,1.741706443,1.913663599,0,0.712640164,12.84831587,0,0.403991023,0,17.620317099
"34",44,0.141872348,0.099521233,0.045009443,0.302372369,4.448318709,0.521734453,0.016884854,0.129255819,5.575713409
"35",45,0.498070019,0.147103883,0,3.340654669,4.999380967,7.940045604,0.431214326,0,17.356469468
"36",46,0.156241393,1.279345626,0.124375041,0.210130219,20.489534098,0.310259193,0.337142929,5.805459448,22.907028499
"37",47,3.106222695,3.306562796,0,5.141551104,40.007085383,0,0.304341094,0,51.865763072
"38",48,2.02597579,0.273021125,0,1.46824818,40.643031092,0.538357666,0,3.132262783,44.948633853
"39",50,0.021551075,0.180600828,0.008452262,0.052822715,9.669266172,0.218072058,0.019859263,1.265073164,10.170624373
"40",51,0.018461337,0.28286844,0,0.202955246,5.710152435,0,0,0,6.214437458
"41",53,0.014690617,0.504463685,0,0.084703451,87.103084166,0.137356948,0,6.587237422,87.844298867
"42",54,0.057785936,0.071597907,0,0.11170428,246.531263151,0.008794195,0.046519496,241.8606412,246.827664965
"43",55,0.21813557,0.571460323,0.020591718,0.31761617,21.840012261,0.061775154,0.054911248,0,23.084502444
"44",56,0.127871371,1.066127567,0,0.61442709,0.418831705,1.615903007,0,0,3.84316074
"45",59,0.000269667,0.054347156,0.003309314,0.252228977,2.773615814,15.19898537,0,2.315990123,18.282756298
"46",60,11.044439264,0.468245325,0,0,193.574734188,0,0.70821597,147.0582133,205.795634747
"47",62,0.028081732,0.17529393,0.062324026,0.001067433,0.943776999,0,0,0,1.21054412
"48",63,0.033015692,3.32175173,0,0.192020698,10.473963252,0.06322094,0.335323864,0,14.419296176
"49",64,0.159831752,0.032746687,0,0.364959568,18.704693542,0,0,18.18770393,19.262231549
"50",65,0.492349512,0.161016882,0,0.903982697,10.151753277,0.085112413,0.727347652,0,12.521562433
"51",67,0.032905812,0.025253798,0.108926572,0.03190154,101.507594741,0,0.046519496,101.5070294,101.753101959
"52",68,0.031188121,0.408752734,0,1.007345478,4.555320163,8.344015412,0,0,14.346621908
"53",69,0.0037732,1.942497647,0,5.300284461,70.126321524,0,0,66.67794412,77.372876832
"54",71,3.180285355,4.156500444,0.036373268,0.082241107,22.401339874,20.020844171,0.076736229,1.354495049,49.954320448
"55",72,0.271486158,0.021188457,0,0.207801752,23.684094422,0.318395804,0.003338625,0,24.506305218
"56",73,0.009466825,0.067219711,0,0.041086408,0.461074051,2.234287224,0.00697952,0,2.820113739
"57",74,0.006738627,0.004441966,0,0.13285097,74.900324297,0,0,52.64552005,75.04435586
"58",75,0.012796705,0.596246294,0,0.162500389,57.800222598,0,0,0,58.571765986
"59",76,0.042971391,0.239154618,0,0.232439248,43.983510186,0,0,41.76631503,44.498075443
"60",77,0.939354677,4.519445171,0.003739724,0.015908435,39.061213192,1.038124022,0,1.352677178,45.577785221
"61",78,0.086613154,0.093143087,0,0.339869282,200.974346507,0,0,200.6677725,201.49397203
"62",79,0.208353784,0.442666189,0,0.810040079,0.543911658,0,0,0.277465396,2.00497171
"63",81,0.034191829,0.044615659,0,0.072368036,17.508184679,0,0.052356239,14.65243693,17.711716442
"64",83,0.065901242,1.529523082,0.406622648,0.048244152,4.174959356,0,1.99845691,1.182178199,8.22370739
"65",85,0.160070434,0.459213616,0.499694811,0.163488805,1.17969602,0.149930423,0.099090568,0,2.711184677
"66",89,0.19407528,0.453459123,0.00247891,0.038410325,2.066381646,0.433248733,0.099795211,1.170614542,3.287849228
"67",90,0.467462937,0.096321328,0,0.05183281,63.883042016,0,0,14.80937442,64.498659091
"68",91,0.029362988,1.134801084,0,0.206839663,1.521203856,0,0,0,2.892207591
"69",92,2.876026161,0.249403365,0,1.948943053,64.719100186,0.028945464,0.247280195,17.43088702,70.069698424
"70",93,3.282940718,1.624675744,0,0,0.372299388,0,0.253323988,0,5.533239838
"71",94,26.95296329,20.01314612,0,0.879899033,1.828886954,0,0.524527993,0,50.19942339
"72",99,0.249868932,0.044146691,0,0.08021725,5.83237728,0.042041834,0,0,6.248651987
"73",101,6.324149993,1.072681966,0,2.428800941,16.926026886,0,2.967869439,0,29.719529225
"74",102,1.309765184,0.421271049,0.023893661,0.129185774,4.603753488,0,0,0,6.487869156
"75",108,43.741802637,0.422437022,0,0.57856591,9.963018687,1.410752776,0.073524575,0,56.190101607
"76",109,0.000231846,0.075265036,0.025347973,0.045888227,9.444889806,0.013105075,0.045458569,0.602958691,9.650186532
"77",111,0.30304634,1.422919196,0.577529212,0.125058409,96.851401005,0,0,0,99.279954162
"78",112,1.648647141,0.094133413,0,0.288716201,0.557319656,0.689390818,0,0,3.278207229
"79",113,0.315315041,1.639012593,0.011080685,0.077494484,0.709878275,0.584471959,0.155129597,0,3.492382634
"80",114,1.304861522,5.915420354,0,1.12427566,14.075495488,0,0.330320427,0,22.750373451
"81",115,0.019095966,2.019798241,0,0.286305959,0.131284766,32.747949843,0.671581739,0,35.876016514
"82",116,0.323748724,1.748965108,0,0.127986389,0,0,0,0,2.200700221
"83",119,0.416940669,0.126457793,0,0.399633607,81.213903845,0,0.038863875,38.67503188,82.195799789
"84",120,0.218585279,0.01444939,0.005947698,1.231690373,1.440930223,0,0.037661785,0,2.949264748
"85",121,2.295930463,0.02562374,0,0.252933487,98.551732247,0,0,98.0576952,101.126219937
"86",122,2.561181429,0.440955114,0.045338188,0.602954911,0.284193288,0.580295195,0.001142584,0,4.516060709
"87",123,0.037247555,0.184310861,0,0.615245983,21.973227608,0,0.016699306,7.666296078,22.826731313
"88",124,0.10172095,0.089188245,0,0.371404893,4.054680288,1.930338225,0.726894568,0.543256942,7.274227169
"89",127,4.661111096,0.706724353,0,0.67804108,18.175214165,0,0.083109973,11.45604491,24.304200667
"90",129,0.123446328,0.036008545,0.037837661,1.087595381,0.004158831,0.153460866,0.062610945,0,1.505118557
"91",205,0.087672142,1.33274168,0,0.303343116,8.896896255,0.757890475,0.015945518,0,11.394489186
"92",245,0.410759709,0.55430572,0,0.345896097,8.506793729,0,0,0,9.817755255
"93",257,1.851895107,1.922503739,0,0.396792156,0.511519161,0.095617118,0.461649986,0,5.239977267
"94",301,1.097683663,0.684248176,0.06818727,0.122093741,8.147609404,5.133252052,0.109649091,0.394798413,15.362723397
"95",304,1.22912126,0.157435918,0.026080895,0.437636356,22.500092179,1.313468949,0,22.41116955,25.663835557
"96",18,0,0.001056413,0,0.048807781,27.564177227,20.35250776,0,23.07840371,47.966549181
"97",24,0,0.105252538,0,0.315577599,0.018864458,2.811910269,0.0144431,0,3.266047964
"98",39,0,0.146462526,0.021977112,0.658767753,2.473856407,2.808147417,0.026170314,0,6.135381529
"99",43,0,0.002301291,0,0.630667834,0.875121696,35.92575778,0.03736223,0,37.471210831
"100",52,0,0.460951145,0,0.449441281,3.760148765,0,0,0.108436945,4.670541191
"101",57,0,2.266994132,0.002614821,0.590500613,0.61522855,0,0,0,3.475338116
"102",58,0,0.446553161,0,3.198442615,8.639149516,0,0,0,12.284145292
"103",61,0,0.021243193,0,0.37313962,2.94455213,0.018705498,0,0,3.357640441
"104",66,0,0.109881687,0.013992192,1.392659791,50.182084551,0,0,18.52509703,51.698618221
"105",82,0,0.132772127,0,0.400356763,12.235067671,0,0,10.32834695,12.768196561
"106",86,0,0.035727253,0.016504838,0.752608719,0.796129612,3.113130696,0.020669653,0,4.734770771
"107",87,0,0.372889493,0.02611297,1.063459252,1.866438526,0,0,0,3.328900241
"108",88,0,0.002550961,0.086371331,2.854233493,0.000833134,1.371894393,0.684169103,0,5.000052415
"109",95,0,0.174909296,0.111847993,0.874002386,4.821634462,13.25528667,0,0,19.237680807
"110",97,0,0.000150957,0,0.170127484,11.598526441,0,0,0,11.768804882
"111",98,0,0.091531244,0,0.596277645,6.430305548,0.295550731,0,0,7.413665168
"112",103,0,0.648993607,0,0.292461848,4.622723475,50.74202771,0.188894594,0,56.495101234
"113",107,0,0.355188999,0,3.063057041,0.119871751,0,0.409624249,0,3.94774204
"114",110,0,1.103444142,0,2.833123309,0.146401242,0.008409831,0.025229492,0,4.116608016
"115",125,0,0.000531185,0,0.344003413,20.684710963,0,0,0,21.029245561
"116",130,0,0.021874078,0,0.878621047,0.407136773,1.522005828,0,0,2.829637726
"117",131,0,0.713735754,0,1.753388746,11.159299764,2.535138836,2.672353247,0,18.833916347
"118",259,0,0.002521239,0,0.134799201,8.920900103,1.280296977,0,1.553484385,10.33851752
"119",300,0,0.032547373,0,1.025242263,22.06250455,4.255870442,0,9.643666205,27.376164628
"120",37,0,0,0,0.455610277,251.313422253,0,0,5.484379683,251.76903253
